"Zipcode","ZipCodeType","City","State","LocationType","Lat","Long","Location","Decommisioned","TaxReturnsFiled","EstimatedPopulation","TotalWages"
"49654","STANDARD","LELAND","MI","PRIMARY",45.01,-85.76,"NA-US-MI-LELAND","false",451,774,17517059
"49066","STANDARD","LEONIDAS","MI","PRIMARY",42.03,-85.35,"NA-US-MI-LEONIDAS","false",308,570,8237055
"49655","STANDARD","LEROY","MI","PRIMARY",44.03,-85.41,"NA-US-MI-LEROY","false",1327,2461,33721262
"49755","STANDARD","LEVERING","MI","PRIMARY",45.63,-84.76,"NA-US-MI-LEVERING","false",923,1636,21274109
"49756","STANDARD","LEWISTON","MI","PRIMARY",44.88,-84.31,"NA-US-MI-LEWISTON","false",1885,3231,31636551
"48742","STANDARD","LINCOLN","MI","PRIMARY",44.68,-83.41,"NA-US-MI-LINCOLN","false",857,1502,17390352
"48634","STANDARD","LINWOOD","MI","PRIMARY",43.73,-83.97,"NA-US-MI-LINWOOD","false",2212,3899,71982587
"49833","PO BOX","LITTLE LAKE","MI","PRIMARY",46.28,-87.33,"NA-US-MI-LITTLE LAKE","false",,,
"48743","STANDARD","LONG LAKE","MI","PRIMARY",45.13,-83.98,"NA-US-MI-LONG LAKE","false",,,
"49331","STANDARD","LOWELL","MI","PRIMARY",42.93,-85.34,"NA-US-MI-LOWELL","false",7468,13867,309167821
"49431","STANDARD","LUDINGTON","MI","PRIMARY",43.95,-86.44,"NA-US-MI-LUDINGTON","false",8277,14232,225769727
"48635","STANDARD","LUPTON","MI","PRIMARY",44.43,-84.01,"NA-US-MI-LUPTON","false",727,1265,14629365
"49656","STANDARD","LUTHER","MI","PRIMARY",44.03,-85.68,"NA-US-MI-LUTHER","false",690,1230,14861749
